host_category_raw,week,avg_heat,total_heat,topic_count,normalized_heat,mau_millions,dau_millions,heat_per_mau,heat_per_dau
其他,2025-06-02,367871.84773151024,591905803,1609,0.3114060240406524,588.0,261.0,1006642.5221088436,2267838.325670498
军事,2025-06-02,738051.0,738051,1,0.0003882940938986326,588.0,261.0,1255.188775510204,2827.7816091954023
动漫,2025-06-02,353023.0,5648368,16,0.0029716482120693984,588.0,261.0,9606.068027210884,21641.256704980842
动漫-国产动漫,2025-06-02,179902.0,359804,2,0.00018929554754495775,588.0,261.0,611.9115646258504,1378.5593869731802
历史,2025-06-02,1551281.0,1551281,1,0.0008161404161462618,588.0,261.0,2638.232993197279,5943.605363984674
情感,2025-06-02,259420.66666666666,4669572,18,0.0024566963917594118,588.0,261.0,7941.448979591837,17891.080459770114
搞笑,2025-06-02,258863.76923076922,10095687,39,0.005311415655488854,588.0,261.0,17169.535714285714,38680.793103448275
教育,2025-06-02,170366.5,340733,2,0.00017926215328800148,588.0,261.0,579.4778911564625,1305.4904214559388
数码,2025-06-02,627775.5555555555,11299960,18,0.0059449925944017315,588.0,261.0,19217.619047619046,43294.86590038314
旅游,2025-06-02,818116.1428571428,5726813,7,0.003012918707192199,588.0,261.0,9739.477891156463,21941.812260536397
时事,2025-06-02,475942.5733333333,107087079,225,0.05633930488347863,588.0,261.0,182120.8826530612,410295.3218390805
时尚,2025-06-02,933797.2222222222,8404175,9,0.004421498672301156,588.0,261.0,14292.81462585034,32199.90421455939
明星,2025-06-02,370453.03807106597,145958497,394,0.0767898456060913,588.0,261.0,248228.7363945578,559227.9578544061
明星-内地,2025-06-02,337632.824,42204103,125,0.022203890968496162,588.0,261.0,71775.68537414966,161701.54406130267
明星-日韩,2025-06-02,357972.78571428574,5011619,14,0.0026366498501731875,588.0,261.0,8523.16156462585,19201.605363984676
校园,2025-06-02,962708.5,3850834,4,0.0020259522699434688,588.0,261.0,6549.0374149659865,14754.153256704982
汽车,2025-06-02,698070.2727272727,7678773,11,0.004039859310926054,588.0,261.0,13059.137755102041,29420.58620689655
游戏,2025-06-02,297602.3043478261,34224265,115,0.018005639132690945,588.0,261.0,58204.53231292517,131127.4521072797
生活记录,2025-06-02,625806.0,625806,1,0.0003292411685999039,588.0,261.0,1064.295918367347,2397.7241379310344
