host,is_official,source,host_category,host_category_raw
大智慧文艺,0,model_seed,Entertainment & Sports,明星-内地
大梦归离,0,model_seed,Entertainment & Sports,电视剧
大江晚报,1,heuristic_seed,News & Information,社会
大河报,1,manual_seed,Entertainment & Sports,明星
大河报信阳站,1,manual_review,News & Information,社会
大河网,1,manual_review,News & Information,社会
大河财立方,0,model_seed,News & Information,社会
大湾区之声,0,model_seed,News & Information,社会
大湾区新闻,1,manual_review,News & Information,社会
大湾区经视,0,model_seed,Technology,互联网
大爱清尘,0,model_seed,News & Information,公益
大片驾到,0,model_seed,Entertainment & Sports,电影
大牌奢侈品包包酱,0,model_seed,Entertainment & Sports,明星-内地
大牌娱乐,0,heuristic_seed,Entertainment & Sports,明星
大猪蹄子研究所,0,model_seed,Entertainment & Sports,搞笑
大王Makeup,0,model_seed,Lifestyle & Services,美妆
大理大学,0,model_seed,Knowledge & Culture,校园
大理寺少卿游官微,0,model_seed,Entertainment & Sports,电视剧
大电竞eSportsFocus,0,heuristic_seed,Entertainment & Sports,游戏
大皖新闻,1,model_seed,News & Information,社会
大眼仔心理,0,model_seed,News & Information,社会
大眼仔看教育,0,model_seed,Knowledge & Culture,教育
大神说,0,model_seed,Entertainment & Sports,搞笑
大程小语,0,model_seed,Entertainment & Sports,综艺-内地综艺
大米Video,0,model_seed,News & Information,社会
大米很烦,0,model_seed,Entertainment & Sports,搞笑
大脑切片,0,model_seed,Entertainment & Sports,搞笑
大脚小狗,0,model_seed,Entertainment & Sports,搞笑
大脸恰瓜,0,model_seed,Entertainment & Sports,游戏
大脸看电竞,0,heuristic_seed,Entertainment & Sports,游戏
大象文娱,0,model_seed,Entertainment & Sports,明星
大象新闻,1,manual_seed,News & Information,社会
大象融媒,0,model_seed,News & Information,电商
大象评论,0,model_seed,News & Information,社会
大象财富,0,model_seed,News & Information,社会
大赏娱乐,0,heuristic_seed,Entertainment & Sports,音乐-日韩音乐
大连事儿哥,0,model_seed,News & Information,社会
大连杉杉奥特莱斯,0,model_seed,Others / General,其他
大连校园,0,model_seed,News & Information,社会
大连理工大学,0,model_seed,Knowledge & Culture,校园
大邑共青团,1,heuristic_seed,News & Information,时事
大风视频,0,model_seed,News & Information,社会
大麦戏剧,0,heuristic_seed,Knowledge & Culture,艺术-戏剧
天中晚报新文娱,1,heuristic_seed,Entertainment & Sports,综艺
天仙颜究所,0,model_seed,Entertainment & Sports,明星-内地
天仪研究院,0,model_seed,News & Information,军事
天声一对,0,model_seed,Entertainment & Sports,综艺
天天体育,0,model_seed,Entertainment & Sports,体育
天天在线网官方微博,0,model_seed,Entertainment & Sports,明星
天天学文艺,0,model_seed,Entertainment & Sports,明星-内地
天官赐福动画官方,0,model_seed,Entertainment & Sports,动漫-国产动漫
天官赐福官方中文广播剧,0,heuristic_seed,Entertainment & Sports,动漫
天山网,1,model_seed,News & Information,社会
天才基本法官博,0,model_seed,Entertainment & Sports,电视剧
天才女友官微,0,model_seed,Entertainment & Sports,电视剧-国产剧
天文在线,0,model_seed,News & Information,社会
天气通,0,model_seed,News & Information,社会
天水事儿,0,model_seed,News & Information,社会
天津交通广播,1,model_seed,News & Information,社会
天津力量TianjinPower,0,model_seed,Entertainment & Sports,体育
天津卫视相声春晚,0,model_seed,Entertainment & Sports,综艺
天津校园,0,model_seed,Knowledge & Culture,校园
天津消防,0,model_seed,News & Information,公益
天涯历知幸,0,model_seed,News & Information,社会
天涯明月刀手游,0,model_seed,Entertainment & Sports,游戏
天爆会火,0,model_seed,Entertainment & Sports,明星-内地
