week_start,category,host_category_raw,is_official,weekly_total_minutes,topic_count,weekly_avg_minutes,time_share
2024-03-18,互联网 (官媒),互联网,1,251,2,125.5,0.000643494044475437
2024-03-18,互联网 (非官媒),互联网,0,1894,22,86.0909090909091,0.004855688128432182
2024-03-18,体育 (官媒),体育,1,1136,11,103.27272727272727,0.002912387388542217
2024-03-18,体育 (非官媒),体育,0,26540,192,138.22916666666666,0.06804116310907608
2024-03-18,健康 (官媒),健康,1,187,5,37.4,0.0004794158817406642
2024-03-18,健康 (非官媒),健康,0,211,4,52.75,0.000540945192766204
2024-03-18,健康-医疗 (非官媒),健康-医疗,0,84,1,84.0,0.00021535258858938926
2024-03-18,公益 (官媒),公益,1,139,1,139.0,0.00035635725968958463
2024-03-18,公益 (非官媒),公益,0,6,1,6.0,1.538232775638495e-05
2024-03-18,其他 (官媒),其他,1,578,5,115.6,0.0014818309071984166
2024-03-18,其他 (非官媒),其他,0,1436,16,89.75,0.0036815037763614643
2024-03-18,军事 (官媒),军事,1,819,6,136.5,0.0020996877387465455
2024-03-18,军事 (非官媒),军事,0,18,1,18.0,4.614698326915485e-05
2024-03-18,动漫 (非官媒),动漫,0,739,7,105.57142857142857,0.0018945900353280795
2024-03-18,动漫-国产动漫 (非官媒),动漫-国产动漫,0,26,1,26.0,6.665675361100144e-05
2024-03-18,动漫-日本动漫 (非官媒),动漫-日本动漫,0,265,2,132.5,0.0006793861425736685
2024-03-18,情感 (官媒),情感,1,1368,15,91.2,0.003507170728455768
2024-03-18,情感 (非官媒),情感,0,9091,53,171.52830188679246,0.023306790272215928
2024-03-18,搞笑 (非官媒),搞笑,0,34940,229,152.5764192139738,0.08957642196801502
2024-03-18,政务 (非官媒),政务,0,254,1,254.0,0.0006511852083536295
2024-03-18,教育 (官媒),教育,1,12,1,12.0,3.07646555127699e-05
2024-03-18,教育 (非官媒),教育,0,519,3,173.0,0.001330571350927298
2024-03-18,数码 (非官媒),数码,0,1047,13,80.53846153846153,0.0026842161934891736
2024-03-18,旅游 (非官媒),旅游,0,496,3,165.33333333333334,0.001271605761194489
2024-03-18,时事 (官媒),时事,1,23261,116,200.52586206896552,0.05963472099021171
2024-03-18,时事 (非官媒),时事,0,2868,15,191.2,0.007352752667552005
2024-03-18,时尚 (非官媒),时尚,0,638,11,58.0,0.001635654184762266
2024-03-18,明星 (官媒),明星,1,810,4,202.5,0.002076614247111968
2024-03-18,明星 (非官媒),明星,0,54206,341,158.96187683284458,0.13896907639376707
