week_start,category,weekly_total_minutes,topic_count,weekly_avg_minutes,time_share
2024-07-15,明星-其他,554,5,110.8,0.0013674859240280113
2024-07-15,明星-内地,17799,126,141.26190476190476,0.043934804985152655
2024-07-15,明星-日韩,2715,15,181.0,0.006701668382195037
2024-07-15,明星-港台,212,4,53.0,0.0005232978626244375
2024-07-15,星座,1058,5,211.6,0.002611552540833278
2024-07-15,校园,108,1,108.0,0.00026658570360112854
2024-07-15,汽车,1882,15,125.46666666666667,0.00464550272386411
2024-07-15,游戏,12453,143,87.08391608391608,0.030738812656896795
2024-07-15,生活记录,283,1,283.0,0.000698553278880735
2024-07-15,电影,2844,30,94.8,0.007020090194829718
2024-07-15,电影-华语电影,1182,12,98.5,0.0029176324227456847
2024-07-15,电视剧,10261,102,100.59803921568627,0.02532811022825167
2024-07-15,电视剧-国产剧,15431,113,136.55752212389382,0.03808966659508347
2024-07-15,社会,127926,854,149.79625292740047,0.31577076591553677
2024-07-15,科技,481,8,60.125,0.001187293735482804
2024-07-15,科普,2130,12,177.5,0.005257662487688924
2024-07-15,综艺,21896,135,162.1925925925926,0.05404778301898436
2024-07-15,综艺-内地综艺,10257,81,126.62962962962963,0.025318236683673848
2024-07-15,美食,554,5,110.8,0.0013674859240280113
2024-07-15,萌宠,244,4,61.0,0.0006022862192469941
2024-07-15,读书,291,2,145.5,0.0007183003680363741
2024-07-15,财经,10990,80,137.375,0.027127563727559284
2024-07-15,财经-产业公司,202,2,101.0,0.0004986140011798885
2024-07-15,运动健身,298,3,99.33333333333333,0.0007355790710475584
2024-07-15,音乐,2690,44,61.13636363636363,0.006639958728583664
2024-07-15,音乐-华语音乐,2394,16,149.625,0.005909316429825016
2024-07-15,音乐-日韩音乐,1117,5,223.4,0.0027571873233561165
2024-07-22,互联网,925,10,92.5,0.002332148349847465
2024-07-22,体育,62855,412,152.5606796116505,0.15847263192395936
2024-07-22,公益,1244,6,207.33333333333334,0.0031364243753624283
2024-07-22,其他,2195,16,137.1875,0.005534125003151552
2024-07-22,军事,968,10,96.8,0.002440561732597131
2024-07-22,动漫,546,11,49.63636363636363,0.0013765978367748278
2024-07-22,历史,243,1,243.0,0.0006126616746085772
2024-07-22,情感,7569,55,137.61818181818182,0.0190832766054005
2024-07-22,搞笑,18842,108,174.46296296296296,0.04750523157602803
2024-07-22,教育,480,3,160.0,0.0012101959004613872
2024-07-22,数码,472,5,94.4,0.0011900259687870308
2024-07-22,旅游,94,2,47.0,0.00023699669717368833
2024-07-22,时事,30826,191,161.39267015706807,0.077719789224214
2024-07-22,时尚,738,11,67.0909090909091,0.0018606761969593827
2024-07-22,明星,40296,316,127.51898734177215,0.10159594584373345
2024-07-22,明星-其他,2014,11,183.0909090909091,0.005077780299019237
2024-07-22,明星-内地,19658,129,152.3875968992248,0.049562564606812395
2024-07-22,明星-日韩,1762,13,135.53846153846155,0.0044424274512770085
2024-07-22,明星-港台,669,2,334.5,0.0016867105362680583
2024-07-22,星座,579,5,115.8,0.0014597988049315483
2024-07-22,汽车,1133,12,94.41666666666667,0.0028565665733807327
2024-07-22,法律,41,1,41.0,0.00010337089983107682
2024-07-22,游戏,4890,99,49.39393939393939,0.012328870735950383
2024-07-22,电商,3,1,3.0,7.5637243778836696e-06
2024-07-22,电影,3795,35,108.42857142857143,0.009568111338022843
2024-07-22,电影-华语电影,2820,15,188.0,0.00710990091521065
2024-07-22,电影-美国电影,326,2,163.0,0.0008219247157300255
2024-07-22,电视剧,6864,68,100.94117647058823,0.017305801376597835
2024-07-22,电视剧-国产剧,8199,88,93.17045454545455,0.02067165872475607
2024-07-22,社会,133217,962,138.47920997920997,0.33587222348284296
2024-07-22,科技,1042,12,86.83333333333333,0.002627133600584928
2024-07-22,科普,1937,13,149.0,0.004883644706653556
2024-07-22,综艺,13613,109,124.88990825688073,0.0343216599853768
2024-07-22,综艺-内地综艺,7222,61,118.39344262295081,0.01820840581902529
2024-07-22,美图,131,1,131.0,0.00033028263116758694
2024-07-22,美食,110,2,55.0,0.0002773365605224012
2024-07-22,萌宠,183,2,91.5,0.00046138718705090385
2024-07-22,财经,13272,95,139.70526315789473,0.033461916647757356
2024-07-22,财经-产业公司,81,1,81.0,0.0002042205582028591
2024-07-22,财经-其他,42,1,42.0,0.00010589214129037138
2024-07-22,财经-宏观经济,47,1,47.0,0.00011849834858684417
2024-07-22,音乐,2807,39,71.97435897435898,0.00707712477623982
2024-07-22,音乐-华语音乐,902,10,90.2,0.00227415979628369
2024-07-22,音乐-日韩音乐,978,5,195.6,0.0024657741471900765
2024-07-29,互联网,1581,18,87.83333333333333,0.004015584837801867
2024-07-29,体育,129471,853,151.7831184056272,0.32884363348200224
2024-07-29,健康,131,1,131.0,0.0003327271434231781
2024-07-29,公益,1087,4,271.75,0.002760873319854921
2024-07-29,其他,1507,10,150.7,0.0038276321002956447
2024-07-29,军事,1834,18,101.88888888888889,0.004658180007924494
2024-07-29,动漫,283,5,56.6,0.0007187922258683925
2024-07-29,家居,80,1,80.0,0.00020319214865537595
2024-07-29,情感,3481,44,79.11363636363636,0.008841398368367046
2024-07-29,搞笑,9075,80,113.4375,0.02304960936309421
2024-07-29,教育,81,3,27.0,0.00020573205051356816
2024-07-29,数码,183,2,91.5,0.0004648020400491725
2024-07-29,旅游,1,1,1.0,2.5399018581921996e-06
2024-07-29,时事,30219,199,151.85427135678393,0.07675329425271007
2024-07-29,时尚,1749,11,159.0,0.004442288349978157
2024-07-29,明星,39544,273,144.84981684981685,0.10043787908035233
2024-07-29,明星-其他,191,3,63.666666666666664,0.0004851212549147101
2024-07-29,明星-内地,15981,110,145.28181818181818,0.04059017159576954
2024-07-29,明星-日韩,1752,11,159.27272727272728,0.004449908055552733
2024-07-29,星座,205,4,51.25,0.0005206798809294008
2024-07-29,校园,183,1,183.0,0.0004648020400491725
2024-07-29,汽车,962,13,74.0,0.002443385587580896
2024-07-29,游戏,4074,69,59.04347826086956,0.01034756017027502
2024-07-29,电影,2524,28,90.14285714285714,0.0064107122900771115
2024-07-29,电影-华语电影,1578,17,92.82352941176471,0.00400796513222729
2024-07-29,电视剧,7050,60,117.5,0.017906308100255005
2024-07-29,电视剧-国产剧,5929,43,137.88372093023256,0.01505907811722155
2024-07-29,电视剧-韩剧,1,1,1.0,2.5399018581921996e-06
2024-07-29,社会,111593,854,130.67096018735364,0.28343526806124214
2024-07-29,科技,1705,11,155.0,0.0043305326682177
2024-07-29,科普,186,4,46.5,0.0004724217456237491
2024-07-29,综艺,5565,62,89.75806451612904,0.01413455384083959
2024-07-29,综艺-内地综艺,4746,36,131.83333333333334,0.012054374218980179
2024-07-29,美妆,184,2,92.0,0.0004673419419073647
2024-07-29,艺术-戏剧,133,1,133.0,0.00033780694713956254
2024-07-29,萌宠,17,1,17.0,4.317833158926739e-05
2024-07-29,财经,3249,48,67.6875,0.008252141137266456
2024-07-29,财经-产业公司,38,1,38.0,9.651627061130358e-05
2024-07-29,财经-其他,169,2,84.5,0.0004292434140344817
2024-07-29,运动健身,157,2,78.5,0.0003987645917361753
2024-07-29,音乐,3220,33,97.57575757575758,0.008178483983378882
2024-07-29,音乐-华语音乐,141,5,28.2,0.0003581261620051001
2024-07-29,音乐-日韩音乐,1876,11,170.54545454545453,0.004764855885968566
2024-08-05,互联网,1590,13,122.3076923076923,0.004167256372757151
2024-08-05,体育,105296,807,130.47831474597274,0.27597196668291635
2024-08-05,其他,2241,21,106.71428571428571,0.005873472661225645
2024-08-05,军事,1530,17,90.0,0.004010001415294617
2024-08-05,动漫,359,9,39.888888888888886,0.0009409088288174952
2024-08-05,动漫-国产动漫,27,2,13.5,7.07647308581403e-05
2024-08-05,家居,25,1,25.0,6.552289894272251e-05
2024-08-05,情感,7156,57,125.54385964912281,0.01875527459336489
2024-08-05,搞笑,12287,123,99.89430894308943,0.03220319437236926
2024-08-05,教育,143,1,143.0,0.0003747909819523727
2024-08-05,数码,746,9,82.88888888888889,0.0019552033044508395
2024-08-05,旅游,47,2,23.5,0.0001231830500123183
2024-08-05,时事,25758,215,119.80465116279069,0.06750955323866585
2024-08-05,时尚,405,7,57.857142857142854,0.0010614709628721044
2024-08-05,明星,41202,297,138.72727272727272,0.1079869792895221
2024-08-05,明星-其他,356,2,178.0,0.0009330460809443685
2024-08-05,明星-内地,13776,126,109.33333333333333,0.036105738233397806
2024-08-05,明星-日韩,1696,16,106.0,0.004445073464274294
2024-08-05,明星-港台,28,2,14.0,7.33856468158492e-05
2024-08-05,星座,26,2,13.0,6.81438149004314e-05
2024-08-05,校园,461,4,115.25,0.001208242256503803
